,Restaurant_Name,Image_URL,Restaurant_URL,Address,Postal_Code,Phone
10,一蘭-渋谷店-渋谷区-2,https://s3-media2.fl.yelpcdn.com/bphoto/-tkjUotpBUGe7ynE138Fjg/o.jpg,https://www.yelp.com/biz/%E4%B8%80%E8%98%AD-%E6%B8%8B%E8%B0%B7%E5%BA%97-%E6%B8%8B%E8%B0%B7%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,神南1-22-7岩本ビルB1F,150-0041,+81 3-3463-3667
11,とんかつまい泉-青山本店-渋谷区,https://s3-media1.fl.yelpcdn.com/bphoto/sVfY6UYWq6Q3oTCx8QVViQ/o.jpg,https://www.yelp.com/biz/%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E3%81%BE%E3%81%84%E6%B3%89-%E9%9D%92%E5%B1%B1%E6%9C%AC%E5%BA%97-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,神宮前4-8-5,150-0001,+81 120-428-485
12,六歌仙-新宿区,https://s3-media3.fl.yelpcdn.com/bphoto/J-9WgTgKgpOmh-ciz7oF_g/o.jpg,https://www.yelp.com/biz/%E5%85%AD%E6%AD%8C%E4%BB%99-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,西新宿1-3-1サンフラワービル6F、7F,160-0023,+81 3-3348-8676
13,カレーハウスcoco壱番屋-新宿駅西口店-新宿区-2,https://s3-media3.fl.yelpcdn.com/bphoto/UwUvMK3hWVzB9ubA9ghQtw/o.jpg,https://www.yelp.com/biz/%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9coco%E5%A3%B1%E7%95%AA%E5%B1%8B-%E6%96%B0%E5%AE%BF%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA-2?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,西新宿1-2-12,160-0023,+81 3-3345-0775
14,神戸牛511-港区,https://s3-media3.fl.yelpcdn.com/bphoto/xh2kDgLaM1NTVTRCGVIOlQ/o.jpg,https://www.yelp.com/biz/%E7%A5%9E%E6%88%B8%E7%89%9B511-%E6%B8%AF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,港区赤坂4-3-28ディアプラザ赤坂B,1070052,+81 3-6685-0511
15,ウォータリングホール-渋谷区,https://s3-media3.fl.yelpcdn.com/bphoto/nM87OuCDfuSSZQsfO0Nlqw/o.jpg,https://www.yelp.com/biz/%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%BF%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%9B%E3%83%BC%E3%83%AB-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,千駄ヶ谷5-26-5代々木シティホームズ 1F,151-0051,+81 3-6380-6115
16,一蘭-渋谷スペイン坂店-渋谷区,https://s3-media3.fl.yelpcdn.com/bphoto/fmthwOiJjglD37bGcuseIQ/o.jpg,https://www.yelp.com/biz/%E4%B8%80%E8%98%AD-%E6%B8%8B%E8%B0%B7%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E5%9D%82%E5%BA%97-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,宇田川町13-7コヤスワンB1F,150-0042,+81 3-3464-0787
17,リシュー-渋谷区,https://s3-media3.fl.yelpcdn.com/bphoto/WqVZdSjh7YWIT8rFUl_Wsg/o.jpg,https://www.yelp.com/biz/%E3%83%AA%E3%82%B7%E3%83%A5%E3%83%BC-%E6%B8%8B%E8%B0%B7%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,神宮前3-25-7丹治ビル 2F,150-0001,+81 3-5785-3144
18,entertainment-dining-bar-kujira-新宿区,https://s3-media3.fl.yelpcdn.com/bphoto/BNSE4urTn5xf6RyOuMZamA/o.jpg,https://www.yelp.com/biz/entertainment-dining-bar-kujira-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,歌舞伎町2-23-1風林会館B2F,160-0021,+81 3-6205-6675
19,魚がし日本一-新宿西口店-新宿区,https://s3-media3.fl.yelpcdn.com/bphoto/IHxsk7ypXHyvx-nN3CrCQA/o.jpg,https://www.yelp.com/biz/%E9%AD%9A%E3%81%8C%E3%81%97%E6%97%A5%E6%9C%AC%E4%B8%80-%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E5%BA%97-%E6%96%B0%E5%AE%BF%E5%8C%BA?adjust_creative=d-neZ1Qxv5_MX5xJ9imDEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=d-neZ1Qxv5_MX5xJ9imDEg,西新宿1-12河西ビル1F,160-0023,+81 3-3349-1739
